id,material_name,product_family,priority,target_application,reason_for_request,needed_parameters
248,Lactose-Imported-25kg,Lactose-Imported-25kg,Urgent (No TDS in Family),Food Processing - Functional Bulking & Carrier,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
249,Laurel Oleoresin 1001,Laurel Oleoresin,Urgent (No TDS in Family),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
250,Lemon cloud,Lemon cloud,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
251,Liquid Smoke,Liquid Smoke,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
252,Locust Bean Gum,Locust Bean Gum,Urgent (No TDS in Family),Sauces & Dressings,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
253,L-Tartaric Acid China-25kg,L-Tartaric Acid China-25kg,Urgent (No TDS in Family),Food Processing - Acidity Regulator & Buffer,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
254,Lutein WS 10%,Lutein Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
255,Lutein WS 5%,Lutein Natural Color,Urgent (No TDS in Family),Beverages & Food Coloring - Natural Colorants,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
256,Maltodextrine-Local-25kg,Maltodextrine-Local-25kg,Urgent (No TDS in Family),Food Processing - Functional Bulking & Carrier,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
257,Marjoram Oleoresin 1001,Marjoram Oleoresin,Urgent (No TDS in Family),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
258,MEAT FLAVOR S0843603,MEAT FLAVOR S0843603,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
259,Meat Protein,Meat Protein,Urgent (No TDS in Family),Savory & Nutrition - Protein Fortification & Emulsification,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
260,Non Dairy Creamer,Non Dairy Creamer,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
261,Onion Oleoresin 1002,Onion Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Onion Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
262,Onion Oleoresin 1003,Onion Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Onion Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
263,Onion Oleoresin 1004,Onion Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Onion Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
264,Onion Oleoresin 50/50,Onion Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Onion Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
265,Onion Oleoresin 60/40,Onion Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Onion Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
266,Onion Oleoresin 70/30,Onion Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Onion Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
267,Onion Oleoresin 80/20,Onion Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Onion Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
268,Onion Oleoresin 90/10,Onion Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Onion Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
269,Paprika Oleoresin 1000,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
270,Paprika Oleoresin 1001,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
271,Paprika Oleoresin 1002,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
272,Paprika Oleoresin 1003,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
273,Paprika Oleoresin 1004,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
274,Paprika Oleoresin 1005,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
275,Paprika Oleoresin 1006,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
276,Paprika Oleoresin 1007,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
277,Paprika Oleoresin 1008,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
278,Paprika Oleoresin 1009,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
279,Paprika Oleoresin 1010,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
280,Paprika Oleoresin 1011,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
281,Paprika Oleoresin 1012,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
282,Paprika Oleoresin 1013,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
283,Paprika Oleoresin 1014,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
284,Paprika Oleoresin 1015,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
285,Paprika Oleoresin 1016,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
286,Paprika Oleoresin 1017,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
287,Paprika Oleoresin 1018,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
288,Paprika Oleoresin 1019,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
289,Paprika Oleoresin 1020,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
290,Paprika Oleoresin 1021,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
291,Paprika Oleoresin 1022,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
292,Paprika Oleoresin 1023,Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
293,"Paprika Oleoresin 40,000 CU",Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
294,"Paprika Oleoresin 40,000 CU OS",Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
295,"Paprika Oleoresin 40,000 CU WS",Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
296,"Paprika Oleoresin 60,000 CU",Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
297,"Paprika Oleoresin 80,000 CU",Paprika Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors","Sibling (Paprika Oleoresin 20,000 CU) has TDS; individual grade TDS needed for exact potency & CoA validation.","Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
298,Parsley Oleoresin 1001,Parsley Oleoresin,Urgent (No TDS in Family),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
299,Parsley Oleoresin 1002,Parsley Oleoresin,Urgent (No TDS in Family),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
300,Parsley Oleoresin 1003,Parsley Oleoresin,Urgent (No TDS in Family),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
301,PDI Salt-Local-50kg,PDI Salt-Local-50kg,Urgent (No TDS in Family),Savory - Seasoning,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
302,Pectin 105C,Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Confectionery - Gelling Agent,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
303,Pectin CE 514,Pectin Functional Systems,Urgent (No TDS in Family),Beverages & Confectionery - Gelled Candies & Jellies,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
304,Pectin LM 101 AS,Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Snacks - Low-Sugar Jams & Fruit Prep,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
305,Pectin LM 102 AS,Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Snacks - Low-Sugar Jams & Fruit Prep,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
306,Pectin LM 104 AS,Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Snacks - Bakery Jams & Fruit Spreads,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
307,Pectin LM 104 AS - FS,Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Snacks - Bakery Jams & Fruit Spreads,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
308,Pectin LM 106 AS-YA,Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Confectionery - Gelling Agent,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
309,Pectin LM104 AS (100),Pectin Functional Systems,Urgent (No TDS in Family),Bakery & Snacks - Bakery Jams & Fruit Spreads,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
310,Pectin Ultra,Pectin Functional Systems,Urgent (No TDS in Family),Beverages & Confectionery - Gelled Candies & Jellies,Zero TDS available for this material or product family in current records.,"Official Manufacturer Technical Data Sheet (TDS) & Certificate of Analysis (CoA); Active chemical assay / purity % / active content specification; Approved Food Grade E-number & allergen declaration statement; Standard dosage recommendations for industrial applications; Packaging sizes (HDPE, paper sacks, net weight) & shelf-life under controlled temperature"
311,Pepper Black Oleoresin 1002,Pepper Black Oleoresin,High (Commercial Variant),"Savory & Snacks - Seasonings, Meat & Snack Flavors",Sibling (Pepper Black Oleoresin 1001) has TDS; individual grade TDS needed for exact potency & CoA validation.,"Specific formulation dosage rate (% or g/100kg) for target food matrices; Active principle concentration assay (e.g. Volatile Oil %, Capsaicin / Piperine / Color Value ASTA); Exact physical form, appearance & carrier composition; Validated shelf-life & specific warehouse storage limits"
