id,filename,application,type,company,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description,brand,audit,recommendation
58,Phos SP102-TDS.pdf,Dairy - Cheese,Emulsifying Salt Based On Phosphate,AWA Food Additives,approx. 2.8 - 3.2% calculated on processed raw material,2 years from date of production,pH (1% solution): 6.4 ±0.3; P O: 64% ± 1; Moisture: Max 3%; pH-shift: -0.2/-0.4; Ion exchange capacity: Very strong; Creaming action: Medium strong; Buffering capacity: Slight,"Sodium diphosphate E450, Sodium polyphosphates E452",Paper sacks with polyethylene liner 25 Kg.,Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Emulsifying Salt Based On Phosphate, used in production of spreadable and firm processed cheese.",Turkphos,,
59,Phos SP120-TDS.pdf,Dairy - Cheese,Emulsifying Salt Based On Phosphate,AWA Food Additives,2 - 3.5% calculated on processed raw material,2 years from date of production,pH: 9.0 ± 0.3; Moisture: Max 3%; P O: 60.3% ± 1,"Sodium polyphosphates E452, Sodium orthophosphate E339","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate, used in meat products, cheese.",Turkphos,,
60,Phos SP122-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt Based On Phosphate,AWA Food Additives,2 - 3.5% calculated on processed raw material,2 years from date of production,pH-shift: +0.4/+0.6; Ion exchange capacity: Very strong; Buffering capacity: Medium strong; Moisture: Max 3%; pH (1% solution): 10.7 ± 0.3; P O: 64% ± 1,"Sodium orthophosphate E339, Sodium polyphosphates E452",Paper sacks with polyethylene liner 25 Kg.,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate manufactured by Essential Elements for Food Perfection, used in meat products, cheese, bakery.",Turkphos,,
61,Phos SP125-TDS.pdf,Dairy - Cheese,Emulsifying Salt Based On Phosphate,AWA Food Additives,approx. 2 - 3.5% calculated on processed raw material,2 years from date of production,pH (1% solution): 8.8 ± 0.3; Moisture: Max 3%; P O: 61.5% ± 1,"Sodium diphosphate E450, Sodium polyphosphates E452",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate manufactured by Essential Elements for Food Perfection, used in production of processed cheese.",Turkphos,,
62,Phos SP130-TDS.pdf,Dairy - Cheese,Emulsifying Salt Based On Phosphate and Citrates,AWA Food Additives,approx. 3.5 - 4% calculated on processed raw material,2 years from date of production,P2O5: 47.57% ± 1; pH (1% solution): 6.4 ± 0.3; Moisture: Max 3%,"Sodium diphosphate E450, Sodium citrate E331, Sodium orthophosphate E339",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate and Citrates, used in meat products, cheese.",Turkphos,,
63,Phos SP135-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt Based On Phosphate and Citrates,AWA Food Additives,3.5 - 4% calculated on processed raw material,2 years from date of production,pH: 7.4 ± 0.3; pH shift: +0.2/+0.4; ion exchange capacity: Medium strong; creaming action: Medium strong; buffering capacity: Weak; moisture: Max 3%; pO: 44.18% ± 1,"Sodium diphosphate E450, Sodium citrate E331, Sodium polyphosphates E452",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate and Citrates manufactured by Essential Elements for Food Perfection, used in meat products, cheese, bakery.",Turkphos,,
64,Phos SP140-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt,AWA Food Additives,approx. 2.5% calculated on processed raw material,2 years from date of production,pH: 9.3 ± 0.3; pH-shift: +0.2/+0.5; Ion exchange capacity: Slight; Buffering capacity: Medium strong; Moisture: Max 3%; P O: 56.3% ± 1,"Sodium polyphosphates E452, Sodium diphosphate E450",Paper sacks with polyethylene liner 25 Kg.,Should be stored under cool and dry conditions (protect from humidity),None declared,White powder,"Emulsifying Salt, used in meat products, cheese, bakery.",Turkphos,,
65,Phos SP145-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt,AWA Food Additives,3.5 - 4% calculated on processed raw material,2 years from date of production,pH (1% solution): 7.6 ± 0.3; Moisture: Max 3%; pH-shift: +0.1/+0.2; Ion exchange capacity: Very strong; Buffering capacity: Medium strong,"Sodium polyphosphates E452, Sodium diphosphate E450, Sodium Citrate E331, Sodium orthophosphate E339",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt, used in meat products, cheese, bakery.",Turkphos,,
66,Phos SP152-TDS.pdf,Dairy - Cheese,Emulsifying Salt Based On Phosphate,AWA Food Additives,approx. 2 - 3.5% calculated on processed raw material,2 years from date of production,pH (1% solution): 9.0 ± 0.3; pH-shift: +0.2/+0.4; Ion exchange capacity: Slight; Buffering capacity: Medium strong; Moisture: Max 3%; P O: 59.4% ± 1,"Sodium diphosphate E450, Sodium polyphosphates E452",Paper sacks with polyethylene liner 25 Kg.,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate, used in production of processed cheese.",Turkphos,,
67,Phos SP154-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifying Salt,AWA Food Additives,3 – 3.5 % calculated on processed raw material,2 years from date of production,pH: 8.0 ± 0.3; pH-shift: +0.2/+0.4; Ion exchange capacity: Very strong; Creaming action: Medium strong; Buffering capacity: Slight; Moisture: Max 3%; pH (1% solution): 8.0 ± 0.3; P2O5: 55.83% ± 1,Sodium polyphosphates E452; Sodium diphosphate E450; Sodium Citrate E331; Sodium orthophosphate E339,Paper sacks with polyethylene liner 25 Kg,Should be stored under cool and dry conditions. Protect from humidity.,None declared,White powder,"Emulsifying Salt manufactured by Essential Elements for Food Perfection, used in meat products, cheese, bakery.",Turkphos,,
68,Phos SP227-TDS.pdf,Bakery & snacks - Cake & Pastry,Emulsifier,AWA Food Additives,2 – 3% according to protein content,2 years from date of production,pH: 7.0 ± 0.3; pH shift: +0.1/+0.2; ion exchange capacity: Very strong; moisture: Max 1.5%; p: 61.5% ± 1,"Sodium polyphosphates E452, Sodium orthophosphate E339, Sodium diphosphate E450",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifier manufactured by Essential Elements for Food Perfection, used in meat products, cheese, bakery.",Turkphos,,
69,Phos-BS-TDS.pdf,Bakery & snacks - Cake & Pastry,Modified Starch,AWA Food Additives,0.3 - 1% calculated on the final product,2 years from date of production,pH (1% solution): 6.0 ± 0.3; Moisture: Max 3%; pH-shift: 0/- 0.1; Ion exchange capacity: Very strong,"Sodium polyphosphates E452, Sodium orthophosphate E339",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Modified Starch, used in meat products, cheese, bakery.",Turkphos,,
70,RevaStab ID 15 - Copy.pdf,Dairy - Ice Cream,Modified Starch,AWA Food Additives,"{""2"": 0.68, ""4"": 0.68, ""6"": 0.65, ""8"": 0.65, ""10"": 0.63, ""12"": 0.63}",24 months from production date,Moisture: Max. 5%; Viscosity (1% sol. at 25°C): Min. 510 cps; Viscosity (1% sol. at 75°C): Min. 210 cps,Mono & Diglycerides of fatty acids E471; Guar Gum E412; Cellulose Gum E466; Carrageenan E407; Dextrose Anhydrous,"Paper sacks with polyethylene liner, 25Kg.","Store at cool and dry place, Away from aromatic products",,Off-white to yellowish powder,"Modified Starch, used in ice Cream.",Ingreva,,
71,RevaStab ID 15.pdf,Dairy - Ice Cream,"Mono & Diglycerides of Fatty Acids, Guar Gum, Cellulose Gum, Carrageenan, Dextrose Anhydrous",AWA Food Additives,"{""2"": 0.68, ""4"": 0.68, ""6"": 0.65, ""8"": 0.65, ""10"": 0.63, ""12"": 0.63}",24 months from production date,Moisture: Max. 5%; Viscosity (1% sol. at 25°C): Min. 510 cps; Viscosity (1% sol. at 75°C): Min. 210 cps,Mono & Diglycerides of fatty acids (E471); Guar Gum (E412); Cellulose Gum (E466); Carrageenan (E407); Dextrose Anhydrous,"Paper sacks with polyethylene liner, 25Kg","Store at cool and dry place, Away from aromatic products",,Off-white to yellowish powder,"Mono & Diglycerides of Fatty Acids, Guar Gum, Cellulose Gum, Carrageenan, Dextrose Anhydrous, used in ice Cream.",Ingreva,,
72,RevaStab NF04.pdf,Dairy - Ice Cream,Modified Starch,AWA Food Additives,"{""0%"": 0.75, ""2%"": 0.75, ""4%"": 0.7}",2 years,"pH (1% solution): 6.8; Ash: Max 8%; Moisture: Max 8%; Viscosity 1% sol. (L2, 200 rpm) at 75°c: Min 60 cPs; Viscosity 1% sol. (L2, 60 rpm) at 25°c: Min 300 cPs",Mono–and diglycerides of fatty acids (E471); Guar (E412); CarGraugmeena (E407); LBG (E410),"Paper sacks with polyethylene liner, 20 Kg.",Store in a dry place away from heat and humidity,None declared,Off white to yellowish powder,"Modified Starch, used in ice Cream.",Ingreva,,
73,RevaStab PZ.pdf,Savory - Seasoning,Modified Starch,AWA Food Additives,,24 months,"loss on drying: 14%(w/w)max.; acetyl groups content: not less than 1.5%(w/w); pH: 4,5-7,0; SO2: 10mg/kgmax.; Arsenic: 0,5mg/kgmax.; Lead: 0,1mg/kgmax.; Mercury: 0,02mg/kgmax.; Brookfield viscosity: 800-1100cp","Modified corn starch E1422 (Acetylated distarch adipate), corn basis","Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity.,,"Powder, White to off-white",Modified Starch.,Ingreva,,
74,Revastab MCG.pdf,Dairy - Cheese,Stabilizer System,AWA Food Additives,0.2–0.5%,2 years,Moisture: Max 10%; Ash: Max 5%; pH: 7±1; Viscosity 25°C (1%): Min 100 cPs (170 L3/200),"Carrageenan E407, Guar gum E412","Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Creamy to white powder,"Stabilizer System, used in processed Cheese.",Ingreva,,
75,Revastab SF22.pdf,Dairy - Ice Cream,Food Grade Stabilizers & Emulsifier,AWA Food Solutions,0.45% in sorbet and 0.65% in sherbet,2 years from date of production,appearance: Off White to Yellowish Powder; moisture: Max.8%; ash: Max.8%; viscosity > 25°c: Min. 290cPs; viscosity > 75°c: Min.100cPs,Pectin E440ii; Mono- and diglycerides of fatty acids E471; CMC E466; Carrageenan E407; Guar gum E412; LBG E410,"Paper sacks with polyethylene liner, 20 Kg.",Store in a dry place away from heat and humidity,None declared,Off white to yellowish powder,"Food Grade Stabilizers & Emulsifier, used in sorbet and sherbet with natural fruits and natural pulp.",AWA Food Solutions,,
76,Revastab-VPM  15.pdf,Savory - Meat,Modified Starch,AWA Food Additives,20-25% of the mixture weight,24 months,moisture content: Max. 12%; pH: 7 - 10,Sodium Alginate E401; Carrageenan E407; Micro crystalline cellulose E460i; Calcium salt E509,"Paper sacks with polyethylene liner, 25 Kg.",Stored in dry place away from direct sunlight,None declared,White powder,"Modified Starch manufactured by Ingreva, used in meat; Poultry.",Ingreva,,
77,Revastab-VPM 30.pdf,Savory - Meat,"Modified Starch, Emulsifier, Carrageenan",AWA Food Additives,1 powder : 15 oil : 30 water,24 months,moisture: Max. 12%; pH: 7 - 10,Sodium Alginate E401; Carrageenan E407; Micro crystalline cellulose E460i; Calcium salt E509,"Paper sacks with polyethylene liner, 25 Kg.",Stored in dry place away from direct sunlight,None declared,White powder,"Modified Starch, Emulsifier, Carrageenan manufactured by Ingreva, used in meat, Poultry.",Ingreva,,
78,RevastabID-06.pdf,Dairy - Ice Cream,Mixture of Food Grade Ingredients (Modified Starch/Stabilizer Blend),AWA Food Additives,"{""6%"": 0.7, ""8%"": 0.68}",2 years,"pH (1% solution): 7.9; Ash: Max 8%; Moisture: Max 8%; Viscosity 1% sol. (L3, 200 rpm) at 75°c: Min 110cPs; Viscosity 1% sol. (L3, 200 rpm) at 25°c: Min 290cPs",Mono – and diglycerides of fatty acids E471; Guar Gum E412; Cellulose Gum E466; Carrageenan E407; LBG E410,Paper sacks with polyethylene liner 20 Kg.,Store in a dry place away from heat and humidity.,None declared,Off white to yellowish powder,"Mixture of Food Grade Ingredients (Modified Starch/Stabilizer Blend), used in ice Cream.",Ingreva,,
79,SF19.pdf,Dairy - Ice Cream,Food Grade Stabilizers & Emulsifier Blend in Powder Form,AWA Food Solutions,"0.65% (dependent on specific recipe, dietary restrictions and desired texture)",2 years from date of production,"appearance: Off White to yellowish Powder; moisture: Max. 8%; ash: Max. 8%; viscosity > 1% sol. (L2,200 rpm) at 75°c: Min. 70cPs; viscosity > 1% sol. (L2,100 rpm) at 25°c: Min. 190cPs",Pectin E440ii; Mono-and diglycerides of fatty acids E471; CMC E466; Carrageenan E407; Guar gum E412; LBG E410,Carton box containing PE bags (20 kg per bag),Store in a dry place away from heat and humidity,"None declared, but cross contamination with Cereals, Lupin, Molluscs",Off white to yellowish powder,"Food Grade Stabilizers & Emulsifier Blend in Powder Form, used in extruded sorbet with natural fruits and natural pulp.",AWA Food Solutions,,
80,SF20.pdf,Dairy - Ice Cream,Blend of Food Grade Stabilizers & Emulsifier in Powder Form,AWA Food Solutions,"0.7% depending on the specific recipe, dietary restrictions and desired texture",2 years from date of production,"appearance: Off White to Yellowish Powder; moisture: Max. 8%; ash: Max. 11%; viscosity > 1% sol. (L2, 200 rpm) at 75°c: Min. 65cPs; viscosity > 1% sol. (L2, 60 rpm) at 25°c: Min. 210cPs",Pectin E440ii; Mono-and diglycerides of fatty acids E471; CMC E466; Carrageenan E407; Guar gum E412; LBG E410,Carton box containing PE bags (20kg per bag),Store in a dry place away from heat and humidity,None declared,Off white to yellowish powder,"Blend of Food Grade Stabilizers & Emulsifier in Powder Form, used in extruded sorbet with natural fruits and natural pulp.",AWA Food Solutions,,
81,SF22.pdf,Dairy - Ice Cream,Food Grade Stabilizers & Emulsifier in Powder Form,AWA Food Solutions,"0.65% (dependent on specific recipe, dietary restrictions and desired texture)",2 years from date of production,moisture: Max. 8%; ash: Max. 8%; viscosity > at 75°C: Min. 100 cPs; viscosity > at 25°C: Min. 290 cPs,Pectin E440ii; Mono-and diglycerides of fatty acids E471; CMC E466; Carrageenan E407; Guar gum E412; LBG E410,Carton box containing PE bags (20 kg per bag),Store in a dry place away from heat and humidity,None declared,Off white to yellowish powder,"Food Grade Stabilizers & Emulsifier in Powder Form, used in extruded sorbet with natural fruits and natural pulp.",AWA Food Solutions,,
82,STARPRO - PDS (HP-CF T0577) Tapioca.pdf,Savory - Seasoning,Modified Starch,AWA Food Additives,,24 months,"Moisture: 11.0 - 14.0 %; pH: 5.0 - 8.0; Hydroxypropyl Group: 4.5 - 6.0 %; Total Plate Count: 10,000 CFU/g; Yeast & Mold: 100 CFU/g; E.Coli: Negative","Hydroxypropyl Distarch Phosphate (Modified Tapioca Starch, INS 1442)","20/25 kg Three Layers Kraft Paper Bag, 500/850 kg FIBCs Jumbo Bag",Keep in dry and clean place at room temperature,None declared,White to off-white powder,"Modified Starch manufactured by Starpro Starch (Thailand) Co., Ltd, used in food Additive.",STARPRO,,
83,Siveele Technical Sheet Nataseen-L.pdf,Savory - Meat; Dairy - Cheese,Natural Antimicrobial Preservative,AWA Food Additives,5-50 mg per kg,24 months from date of production when stored according to recommendations,Natamycin (E235): Min. 50%; Lactose: Max. 50%,"Natamycin (E235), Lactose",10 kg per carton / 20 x 500 gram jars,"Store in cool (<25°C) and dry conditions (<65% RH). Once opened, Store between 4-25°C in original package in dry conditions, Away from direct sunlight.",Contains: Milk and products thereof (including lactose),"Powder, Off-white to creamy","Natural Antimicrobial Preservative manufactured by Siveele B.V., used in meat products, cheese, bakery, yoghurt, sour cream, cream cheese, cottage cheese, fruit juices, fruit pulp, canned foods, quick frozen lobster, fish pastes, fish roe and spawn.","Škrobárny Pelhřimov, a.s",,
84,Siveele Technical Sheet NiseenR-S.pdf,Savory - Meat; Dairy - Cheese,Natural Antimicrobial,AWA Food Additives,25-500 mg per kg or litre of food,24 months from date of production when stored according to recommendations,"Nisin (E 234) Min. 1,000 IU/mg, Sodium chloride Min. 50%",Nisin,10 kg per carton / 20 x 500 gram jars,"Store in cool (<25°C) and dry conditions (<65% RH). Once opened, Store between 4-25°C in original package in dry conditions, Away from direct sunlight.",None declared,"Powder, Off-white to light tan","Natural Antimicrobial manufactured by Siveele B.V., used in meat products, cheese, bakery, cream products, dairy and fat based desserts, yoghurt, flavoured milk and milk drinks, fruit and vegetable preparations, dips and snacks, pasteurised liquid egg products, slices and toppings, canned food, processed meats and fermentation products.","Škrobárny Pelhřimov, a.s",,
85,Sweetex 2E -TDS.pdf,Confectionery - Confectionery; Beverages - Beverages; Dairy - Ice Cream; Bakery & snacks - Biscuits & Cookies,Non-Caloric Sweetener's Mixture,AWA Food Solutions,,24 months from production date,appearance: White Crystalline Powder; solubility: Soluble in water; moisture content: ≤1%; ash content: ≤1%,"Erythritol E 968, Sucralose E 955, Anti-caking Agent E 551","Paper sacks with polyethylene liner (5kg, 10kg and 25kg)","Keep in a cool and dry place, Away from heat and sunlight",None declared,White crystalline powder,"Non-Caloric Sweetener's Mixture, used in ice cream, Confectionery, Beverages (Hot and Cold) and Bakery.",AWA Food Solutions,,
86,Sweetex 2F -TDS.pdf,Confectionery - Confectionery; Beverages - Beverages; Dairy - Ice Cream; Bakery & snacks - Biscuits & Cookies,Non-Caloric Sweetener's Mixture,AWA Food Solutions,,24 months from production date,appearance: White Crystalline Powder; solubility: Soluble in water; moisture content: ≤1%; ash content: ≤1%; total plate count: ≤ 500 cfu/g; total yeasts and molds count: ≤ 50 cfu/g; coliform: <10 cfu/g; e coli: Absent / g,"Erythritol E 968, Fructooligosaccharides, Anti-caking Agent E 551","Paper sacks with polyethylene liner (5kg, 10kg and 25kg)","Keep in a cool and dry place, Away from heat and sunlight",None declared,White crystalline powder,"Non-Caloric Sweetener's Mixture, used in ice cream, Confectionery, Beverages (Hot and Cold) and Bakery.",AWA Food Solutions,,
87,Sweetex 2P -TDS.pdf,Confectionery - Confectionery; Beverages - Beverages; Dairy - Ice Cream; Bakery & snacks - Biscuits & Cookies,Non-Caloric Sweetener's Mixture,AWA Food Solutions,,24 months from production date,appearance: White Crystalline Powder; solubility: Soluble in water; moisture content: ≤1%; ash content: ≤1%,"Erythritol E 968, Polydextrose E 1200, Anti-caking Agent E 551","Paper sacks with polyethylene liner (5kg, 10kg and 25kg)","Keep in a cool and dry place, Away from heat and sunlight",None declared,White crystalline powder,"Non-Caloric Sweetener's Mixture, used in ice cream, Confectionery, Beverages (Hot and Cold) and Bakery.",AWA Food Solutions,,
88,Sweetex S - TDS.PDF,Confectionery - Confectionery; Beverages - Beverages; Dairy - Ice Cream; Bakery & snacks - Biscuits & Cookies,Non-Caloric Sweetener,AWA Food Solutions,,24 months from production date,appearance: White Crystalline Powder; odor: Neutral; solubility: Soluble in water; moisture content: ≤1%; ash content: ≤1%; total plate count: ≤ 500 cfu/g; total yeasts and molds count: ≤ 50 cfu/g; coliform: <10 cfu/g; e coli: Absent / g,Erythritol E968; Stevia E960; Anti-caking Agent E551,"Paper sacks with polyethylene liner (5kg, 10kg and 25kg)","Keep in a cool and dry place, Away from heat and sunlight",None declared,White crystalline powder,"Non-Caloric Sweetener, used in ice cream; Confectionery; Beverages (Hot and Cold); Bakery.",AWA Food Solutions,,
89,Sweetex SS - TDS.PDF,Confectionery - Confectionery; Beverages - Beverages; Dairy - Ice Cream; Bakery & snacks - Biscuits & Cookies,Non-Caloric Sweetener's Mixture,AWA Food Solutions,1g per serving,24 months from production date,appearance: White Crystalline Powder; odor: Neutral; solubility: Soluble in water; moisture content: ≤1%; ash content: ≤1%; total plate count: ≤ 500 cfu/g; total yeasts and molds count: ≤ 50 cfu/g; coliform: <10 cfu/g; e coli: Absent / g,Erythritol E968; Stevia E960; Sucralose E955; Anti-caking Agent E551,"Paper sacks with polyethylene liner (5kg, 10kg and 25kg)","Keep in a cool and dry place, Away from heat and sunlight",None declared,White crystalline powder,"Non-Caloric Sweetener's Mixture, used in ice cream; Confectionery; Beverages (Hot and Cold); Bakery.",AWA Food Solutions,,
90,TDS ID-20.pdf,Dairy - Ice Cream,Modified Starch,AWA Food Additives,"{""2"": 0.7, ""4"": 0.7, ""6"": 0.65, ""8"": 0.65, ""10"": 0.6, ""12"": 0.6}",24 months,pH: 8±1; Ash: Max 7%; Moisture: Max.8%; Viscosity > 25°c: Min 400cPs; Viscosity > 75°c: Min 230cPs,Mono & Diglycerides of fatty acids (E471); Guar Gum (E412); Cellulose Gum (E466); Carrageenan (E407); LBG (E410); Dextrose Anhydrous,Carton box containing PE bags (20 kg per bag),Store at cool and dry place away from aromatic products,None declared,Off white to yellowish powder,"Modified Starch, used in ice Cream.",AWA Food Solutions,,
91,TEXTRA BV100.pdf,Savory - Seasoning,Food-Grade Stabilisers Blend,AWA Food Solutions,0.2 – 0.3%,2 years,appearance: Fine powder; color: Off white to yellowish white,Cellulose gum E466; Xanthan gum E415; Guar gum E412,unopened bags,Cool and dry,None declared,Fine powder,"Food-Grade Stabilisers Blend manufactured by Textra BV, used in fruit drinks and fruit drink concentrates.",AWA Food Solutions,,
92,TEXTRA _ D237.pdf,Savory - Seasoning,Emulsifier and Stabilizers,AWA Food Solutions,0.1-0.3%,2 years,appearance: Fine powder; color: Off white to yellowish powder; moisture: Max. 15%,Mono- and diglycerides: E471; Carrageenan: E407; Guar gum: E412,"Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,None declared,Fine powder,"Emulsifier and Stabilizers, used in chocolate milk, Recombined milk.",AWA Food Solutions,,
93,TVP TDS-A+.pdf,Savory - Meat,Textured Soy Protein,AWA Food Additives,Hydrate by adding 2.5 -3 kg of water for every kg of TVP,,Moisture: Max 10%; Protein: Min 50%; Lipids: Max 1%; Fiber: 4%; Ash: Max 8%; Carbohydrates: Min.29; Water absorption: 280%-320%; Yaest/Mold: <100 cfu/g; Total Aerobia: <20000 cfu/g; E.coli: Negative; Salmonella/25g: Negative,Soy protein,Multifold paper bags 13 kg,Easy use and storage,,Textured powder,"Textured Soy Protein manufactured by Awa Food Additives, used in meat products.",AWA Food Solutions,,
94,TVP TDS.pdf,Savory - Meat,Textured Soy Protein,AWA Food Additives,2.5-3 kg of water for every kg of TVP,,Moisture: Max 10%; Protein: D/B (N*6.25) Min 40%; Lipids: Max 1%; Fiber: 4%; Ash: Max 8%; Carbohydrates: Min.29; Water absorption: 280%-320%; Yaest/Mold: <100 cfu/g; Total Aerobia: <20000 cfu/g; E.coli: Negative; Salmonella/25g: Negative,,Multifold paper bags 15 kg,,,,"Textured Soy Protein manufactured by Awa Food Additives, used in meat products.",AWA Food Solutions,,
95,Talaga 300.pdf,Dairy - Cheese,"Modified Starch, Emulsifier",AWA Food Additives,0.25 -0.35%,2 years,moisture: Max. 4%; viscosity: 12 : 22 cPs; pH: 7-9,Emulsifiers E471; Disodium phosphate E339; Guar Gum E412; Gelatin E441; Salt,Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity.,None declared,White cheese powder,"Modified Starch, Emulsifier, used in talaga white cheese.",Turkphos,,
96,Textra - D237.pdf,Savory - Seasoning,Food-Grade Emulsifier and Stabilisers,AWA Food Solutions,0.1-0.3%,24 months,"appearance: Fine powder; color: Off white to yellowish powder; loss on drying: Not more than 15%; microbiological > total plate count: max. 10,000 cfu/g; microbiological > yeast and mould: max. 500 cfu/g; microbiological > salmonella: absent in 25 g; microbiological > e coli: absent in 1 g","Mono- and diglycerides E471, Carrageenan E407, Guar gum E412","Paper sacks with polyethylene liner, 25 kg",Store in a dry place away from direct sunlight,None declared,Fine powder,"Food-Grade Emulsifier and Stabilisers manufactured by Textra, used in chocolate milk, Recombined milk.",AWA Food Solutions,,
97,Textra BV238.pdf,Savory - Seasoning,Modified Starch,AWA Food Solutions,0.2 – 0.3%,24 months,moisture limits: not more than 10%,name: Cellulose gum; e-number: E466; name: Xanthan gum; e-number: E415; name: Guar gum; e-number: E412,"Heavy duty bags, 25 kg",Store in a dry place away from direct sunlight,None declared,Off white to yellowish powder,"Modified Starch manufactured by Textra BV, used in fruit drinks and fruit drink concentrates.",AWA Food Solutions,,
98,Textra CM ICE 200ⓩ.pdf,Dairy - Ice Cream,Mixture of Food Grade Ingredients (Ice Cream Stabilizer/Emulsifier Blend),AWA Food Solutions,0.60 - 0.35% depending on fat content,2 years from date of production,pH: 8 : 10; moisture: Max. 5%; viscosity: Min 80 cPs,Mono & diglycerides of fatty acids E471; Guar Gum EE-441721; Cellulose Gum E466; Carrageenan E407; Dextrose Anhydrous,Carton box containing PE bags (20 kg per bag),Store in a dry place away from heat and humidity,None declared,Off white to yellowish powder,"Mixture of Food Grade Ingredients (Ice Cream Stabilizer/Emulsifier Blend), used in ice cream.",AWA Food Solutions,,
99,Textra CM Ice 200 ⓢ TDS.pdf,Dairy - Ice Cream,Mixture of Food Grade Ingredients (Ice Cream Stabilizer/Emulsifier Blend),AWA Food Solutions,"{""2"": 0.6, ""4"": 0.55, ""6"": 0.5, ""8"": 0.45, ""10"": 0.4, ""12"": 0.35}",24 months from production date,pH: 8 : 10; moisture: Max. 5%; viscosity: Min 80 cP,Microbiological Specification; M; ac; o; id; n; s; o & Diglycerides of fatty; E-471 Y; C; e; a; lif; s; o; t; r; a; m; n d; Mold Ma; <; x; 1; .; 0; 5; 0; c; 0; fu; c; /g; fu /g; Guar Gum E-412; E.Coli Absent; Cellulose Gum E-466; Carrageenan E-407; Dextrose Anhydrous,"Carton box, 20 kg",Store at cool and dry place away from aromatic products,,Off white to yellowish powder,"Mixture of Food Grade Ingredients (Ice Cream Stabilizer/Emulsifier Blend) manufactured by AWA Foodsolutions, used in ice Cream.",AWA Food Solutions,,
100,Textra Cream 300.pdf,Dairy - Dairy & Creamers,Stabilizer,AWA Food Solutions,0.40-0.50%,24 months,loss on drying: Max. 12%; pH: 6 – 7; total plate count: Max. 1000 cfu/g; yeast and mold: Max. 500 cfu/g; coliform: <10 cfu/g; e coli: Absent,Gelatin; Guar Gum E-412; Dextrose Anhydrous,"Heavy duty bags, 25 kg",Store in a dry place away from direct sunlight,None declared,,"Stabilizer, used in natural Cream; Vegetable Cream.",AWA Food Solutions,,
101,Textra F 136-.pdf,Savory - Seasoning,Blend of Food Grade Stabilizers,AWA Food Solutions,0.1 – 0.3% according to desired texture and protein level,24 months after production,"Loss on drying Max. 14%, pH (Measured in a 1% aqueous solution) - not specified","Modified Starch E-1422, Gelatin E-441, Mono & Diglyceride E-471, Dextrose, Yeasts and Molds, Salmonella Sp., E. Coli","25 kg, 5 kg, 1 kg Heavy duty bags","Should be stored away from aromatic products, Under cool and dry conditions",None declared,Light brown to white powder,"Blend of Food Grade Stabilizers manufactured by Awa Foodsolutions, used in yogurt, Fermented dairy products.",AWA Food Solutions,,
102,Textra FM 200X.pdf,Bakery & snacks - Cake & Pastry,"Modified Starch, Emulsifier, Carrageenan",AWA Food Solutions,0.7%,24 months,Moisture: Max.10%; Ash: Max. 8%; Viscosity: Min. 60 cPs,Pectin E-440ii; Mono and Diglycerides of fatty acids E-471; CMC E-466; Carrageenan E-407; Guar Gum E-412; Tara Gum E-417,"Heavy duty bags, 20 kg",Store in a dry place away from direct sunlight,None declared,Creamy to white powder,"Modified Starch, Emulsifier, Carrageenan, used in meat products, cheese, bakery.",AWA Food Solutions,,
